ID,Name,SKU,Description,Quantity,Price,Created At
1,Ciment CPJ 35 - Sac 50kg,CIM-CPJ35-50,Ciment Portland composé CPJ 35 en sac de 50 kg pour construction générale,320,72.00,2026-01-15 09:00:00
2,Ciment CPJ 45 - Sac 50kg,CIM-CPJ45-50,Ciment Portland composé CPJ 45 haute résistance en sac de 50 kg,185,85.00,2026-01-15 09:05:00
3,Fer à béton HA 10mm - Barre 12m,FER-HA10-12,Barre d'acier à haute adhérence diamètre 10 mm longueur 12 mètres,540,48.50,2026-01-16 10:30:00
4,Fer à béton HA 12mm - Barre 12m,FER-HA12-12,Barre d'acier à haute adhérence diamètre 12 mm longueur 12 mètres,410,62.00,2026-01-16 10:35:00
5,Fer à béton HA 16mm - Barre 12m,FER-HA16-12,Barre d'acier à haute adhérence diamètre 16 mm longueur 12 mètres,280,98.00,2026-01-16 10:40:00
6,Sable de mer - Tonne,SAB-MER-T,Sable de mer lavé et calibré vendu à la tonne,95,180.00,2026-01-20 08:00:00
7,Gravier concassé 15/25 - Tonne,GRV-1525-T,Gravier concassé granulométrie 15/25 mm vendu à la tonne,78,220.00,2026-01-20 08:10:00
8,Brique rouge 12 trous,BRQ-RG12,Brique rouge creuse 12 trous dimensions 20x20x30 cm,4200,3.20,2026-01-22 14:00:00
9,Brique rouge 8 trous,BRQ-RG08,Brique rouge creuse 8 trous dimensions 15x20x30 cm,3800,2.50,2026-01-22 14:05:00
10,Parpaing creux 20x20x50,PRP-2050,Bloc de béton creux standard 20x20x50 cm,2600,5.80,2026-01-22 14:10:00
11,Plâtre en sac 25kg,PLT-SAC25,Plâtre de construction pour enduits intérieurs sac de 25 kg,150,45.00,2026-02-01 09:00:00
12,Carrelage sol 40x40 Beige,CRL-S4040B,Carrelage de sol céramique 40x40 cm coloris beige boîte de 1m²,340,85.00,2026-02-03 11:00:00
13,Carrelage sol 60x60 Gris,CRL-S6060G,Carrelage de sol grès cérame 60x60 cm coloris gris boîte de 1.44m²,220,145.00,2026-02-03 11:05:00
